id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
1EDPVGbyPKJPeGqATwXZvN;The Emptiness Machine;Linkin Park;From Zero;2024-11-15;190427;82;True;https://open.spotify.com/track/1EDPVGbyPKJPeGqATwXZvN;guitar_stems/The_Emptiness_Machine_(Official_Music_Video)_-_Linkin_Park.wav;93.0;D major
0COqiPhxzoWICwFCS4eZcp;Bring Me To Life;Evanescence;Fallen;2003-03-04;235893;85;False;https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp;guitar_stems/Evanescence_-_Bring_Me_To_Life_(Official_HD_Music_Video).wav;95.0;E major
5Xak5fmy089t0FYmh3VJiY;Black;Pearl Jam;Ten;1991-08-27;342653;76;False;https://open.spotify.com/track/5Xak5fmy089t0FYmh3VJiY;guitar_stems/Pearl_Jam_-_Black_(Official_Audio).wav;77.0;A major
18lR4BzEs7e3qzc0KVkTpU;What I've Done;Linkin Park;Minutes to Midnight;2007-05-14;205226;81;False;https://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU;guitar_stems/What_I've_Done_(Official_Music_Video)_[4K_Upgrade]_-_Linkin_Park.wav;60.0;G minor
4nnJRbVecvQwqf3OQP4mja;These Days;Bon Jovi;These Days;1995-06-27;387826;59;False;https://open.spotify.com/track/4nnJRbVecvQwqf3OQP4mja;guitar_stems/Bon_Jovi_-_These_Days.wav;66.0;E minor
779ooI3rBd0CLqCiiJmtVo;Hero (feat. Josey Scott);Chad Kroeger, Josey Scott;Hero (feat. Josey Scott);2003;200480;68;False;https://open.spotify.com/track/779ooI3rBd0CLqCiiJmtVo;guitar_stems/Hero_(feat._Josey_Scott).wav;75.0;E major
3AJwUDP919kvQ9QcozQPxg;Yellow;Coldplay;Parachutes;2000-07-10;266773;90;False;https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg;guitar_stems/Coldplay_-_Yellow_(Official_Video).wav;87.0;B major
0dq8Ea1ibH5zv4Up0iRK9K;The Crown;TRVSH;The Crown;2025-01-31;246986;41;False;https://open.spotify.com/track/0dq8Ea1ibH5zv4Up0iRK9K;guitar_stems/The_Crown.wav;66.0;D minor
0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;Nickelback;Silver Side Up;2001-09-11;223840;84;False;https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf;guitar_stems/Nickelback_-_How_You_Remind_Me_[OFFICIAL_VIDEO].wav;86.0;F major
6QAsrXPnMSXIbV0yEJHlEX;Nothing Else Matters - Remastered 2021;Metallica;Metallica (Remastered Deluxe Box Set);2021-09-10;388733;49;False;https://open.spotify.com/track/6QAsrXPnMSXIbV0yEJHlEX;;;
10Nmj3JCNoMeBQ87uw5j8k;Dani California;Red Hot Chili Peppers;Stadium Arcadium;2006-05-09;282160;77;False;https://open.spotify.com/track/10Nmj3JCNoMeBQ87uw5j8k;guitar_stems/Red_Hot_Chili_Peppers_-_Dani_California_[Official_Music_Video].wav;96.0;A minor
5QpaGzWp0hwB5faV8dkbAz;Wherever You Will Go;The Calling;Camino Palmero;2001;208600;76;False;https://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz;guitar_stems/The_Calling_-_Wherever_You_Will_Go_(First_Video-_in_Tijuana).wav;56.0;D major
7i8hBTg6jecjoaKkh6ULoK;William Wallace (was a Punk Rocker);Falk Fusion;William Wallace (was a Punk Rocker);2024-11-01;240694;21;False;https://open.spotify.com/track/7i8hBTg6jecjoaKkh6ULoK;guitar_stems/William_Wallace_(was_a_Punk_Rocker).wav;79.0;A major
5qqabIl2vWzo9ApSC317sa;WONDERWaLL - Remastered;Oasis;(What's The Story) Morning Glory? [Remastered];1995-10-02;258773;77;False;https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa;;;
